Site Name,UYM,UYM,UYM,UYM,UYM,UYM,UYM
Isco Quantity,Flow Rate,Min/Max,Flow Rate,Min/Max,Flow Rate,Volume,Sample Event
Label,Min Flow,Min/Max,Max Flow,Min/Max,Avg Flow,Total Volume,Sample Event
Units,gpm,Date/Time,gpm,Date/Time,gpm,gal,SU
Resolution,0.1,N/A,0.1,N/A,0.1,0.1,0.1
Significant Digits,0,N/A,0,N/A,0,0,0
,,,,,,,
5/26/2022 12:00,21.009,12:05:00 PM,21.009,12:05:00 PM,21.009,1260.51,
5/26/2022 13:00,21.009,1:00:00 PM,21.009,1:00:00 PM,21.009,1260.51,
5/26/2022 14:00,21.009,2:00:00 PM,138.839,2:50:00 PM,67.751,4065.05,
5/26/2022 15:00,118.628,3:55:00 PM,135.55,3:00:00 PM,125.836,7550.15,
5/26/2022 16:00,107.083,4:55:00 PM,116.156,4:00:00 PM,111.74,6704.39,
5/26/2022 17:00,99.829,5:55:00 PM,105.466,5:10:00 PM,102.728,6163.7,
5/26/2022 18:00,97.633,6:10:00 PM,100.272,6:50:00 PM,99.298,5957.86,
5/26/2022 19:00,98.07,7:05:00 PM,101.386,7:50:00 PM,99.499,5969.96,
5/26/2022 20:00,100.272,8:00:00 PM,105.926,8:50:00 PM,103.593,6215.57,
5/26/2022 21:00,107.083,9:00:00 PM,114.934,9:50:00 PM,110.719,6643.16,
5/26/2022 22:00,114.934,10:05:00 PM,122.909,10:45:00 PM,118.881,7132.84,
5/26/2022 23:00,123.675,11:00:00 PM,130.714,11:55:00 PM,126.675,7600.52,
5/27/2022 0:00,131.512,12:00:00 AM,136.914,12:50:00 AM,133.708,8022.5,
5/27/2022 1:00,138.287,1:00:00 AM,143.869,1:55:00 AM,140.717,8443.03,
5/27/2022 2:00,143.022,2:00:00 AM,151.05,2:55:00 AM,146.702,8802.09,
5/27/2022 3:00,150.176,3:00:00 AM,159.969,3:55:00 AM,155.143,9308.57,
5/27/2022 4:00,161.488,4:00:00 AM,173.014,4:55:00 AM,166.744,10004.6,
5/27/2022 5:00,172.378,5:00:00 AM,180.437,5:50:00 AM,176.521,10591.3,
5/27/2022 6:00,182.076,6:00:00 AM,186.051,6:45:00 AM,183.508,11010.5,
5/27/2022 7:00,184.388,7:20:00 AM,189.405,7:50:00 AM,187.391,11243.5,
5/27/2022 8:00,189.405,8:20:00 AM,192.796,8:50:00 AM,190.589,11435.3,
5/27/2022 9:00,190.418,9:25:00 AM,193.821,9:20:00 AM,191.861,11511.7,
5/27/2022 10:00,184.388,10:45:00 AM,192.115,10:15:00 AM,188.233,11294,
5/27/2022 11:00,176.217,11:55:00 AM,186.051,11:00:00 AM,181.46,10887.6,
5/27/2022 12:00,154.578,12:55:00 PM,177.185,12:00:00 PM,165.003,9900.2,
5/27/2022 13:00,134.736,1:55:00 PM,151.634,1:00:00 PM,142.363,8541.77,
5/27/2022 14:00,109.422,2:55:00 PM,132.045,2:00:00 PM,121.121,7267.28,
5/27/2022 15:00,94.83,3:50:00 PM,109.422,3:00:00 PM,100.847,6050.83,
5/27/2022 16:00,80.71,4:55:00 PM,92.293,4:00:00 PM,86.957,5217.44,
5/27/2022 17:00,70.405,5:55:00 PM,79.763,5:00:00 PM,74.633,4477.98,
5/27/2022 18:00,63.009,6:50:00 PM,69.891,6:00:00 PM,66.191,3971.44,
5/27/2022 19:00,57.701,7:55:00 PM,62.227,7:00:00 PM,59.894,3593.66,
5/27/2022 20:00,56.974,8:15:00 PM,58.732,8:05:00 PM,57.423,3445.37,
5/27/2022 21:00,56.974,9:00:00 PM,58.732,9:30:00 PM,58.046,3482.77,
5/27/2022 22:00,58.436,10:00:00 PM,62.539,10:50:00 PM,60.609,3636.53,
5/27/2022 23:00,62.539,11:00:00 PM,69.891,11:55:00 PM,66.193,3971.57,
5/28/2022 0:00,69.551,12:00:00 AM,76.607,12:55:00 AM,73.402,4404.15,
5/28/2022 1:00,77.895,1:05:00 AM,87.163,1:55:00 AM,82.134,4928.06,
5/28/2022 2:00,86.561,2:00:00 AM,102.058,2:55:00 AM,94.474,5668.46,
5/28/2022 3:00,102.058,3:00:00 AM,111.796,3:50:00 AM,107.732,6463.92,
