location.name,treatment.name,event.type,sample.id,lab.id.x,method,cas.number,analyte,result,units,dilution,result.reported.to,mdl,rl,flag,non.detect,duplicate,method.name,event.count,flow.vol.liter,long,lat,collected,received,analyte.abbr
UYM,Point Sample,Point Sample,UYM-01-GB,2205611-3,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.092,0.2,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB,2205611-3,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB,2205611-3,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB,2205611-3,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0.13,MG/L,1,PRL,0.016,0.05,NA,FALSE,FALSE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB-D,2205611-4,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.092,0.2,NA,FALSE,TRUE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB-D,2205611-4,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,TRUE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB-D,2205611-4,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,TRUE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Point Sample,Point Sample,UYM-01-GB-D,2205611-4,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0.14,MG/L,1,PRL,0.016,0.05,NA,FALSE,TRUE,Grab Sample,Irrigation 1,NA,NA,NA,5/26/2022 17:00,5/27/2022 13:45,NA
UYM,Outflow,Outflow,UYM-02-ISC,2206447-3,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.19,0.2,NA,FALSE,FALSE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC,2206447-3,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,FALSE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC,2206447-3,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,FALSE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC,2206447-3,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0.056,MG/L,1,PRL,0.033,0.05,NA,FALSE,FALSE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC-D,2206447-4,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.19,0.2,NA,FALSE,TRUE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC-D,2206447-4,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,TRUE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC-D,2206447-4,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,TRUE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Outflow,Outflow,UYM-02-ISC-D,2206447-4,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0.054,MG/L,1,PRL,0.033,0.05,NA,FALSE,TRUE,ISCO,Irrigation 2,NA,NA,NA,6/17/2022 17:00,6/18/2022 9:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1,2207037-1,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.19,0.2,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1,2207037-1,EPA300.0 [300Nitrite]_W,14797-65-0,NITRITE AS N,0.8,MG/L,1,PRL,0.11,0.15,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1,2207037-1,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1,2207037-1,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1,2207037-1,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0.16,MG/L,1,PRL,0.033,0.05,NA,FALSE,FALSE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1-D,2207037-2,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.19,0.2,NA,FALSE,TRUE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1-D,2207037-2,EPA300.0 [300Nitrite]_W,14797-65-0,NITRITE AS N,0.88,MG/L,1,PRL,0.11,0.15,NA,FALSE,TRUE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1-D,2207037-2,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,TRUE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1-D,2207037-2,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,TRUE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Inflow,Inflow,UYM-03-INLC-1-D,2207037-2,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0.19,MG/L,1,PRL,0.033,0.05,NA,FALSE,TRUE,Low-Cost Sampler,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1,2207037-3,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.19,0.2,NA,FALSE,FALSE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1,2207037-3,EPA300.0 [300Nitrite]_W,14797-65-0,NITRITE AS N,1.3,MG/L,1,PRL,0.11,0.15,NA,FALSE,FALSE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1,2207037-3,EPA300.0 [300OPHOS]_W,14265-44-2,ORTHOPHOSPHATE AS P,0,MG/L,1,PRL,0.34,0.75,NA,FALSE,FALSE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1,2207037-3,EPA200.8 [SE200.8]_W,7782-49-2,SELENIUM,0,UG/L,10,PRL,NA,1.5,NA,FALSE,FALSE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1,2207037-3,EPA365.2 [365.2TPHOS]_W,7723-14-0,TOTAL PHOSPHORUS,0,MG/L,1,PRL,0.033,0.05,NA,FALSE,FALSE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1-D,2207037-4,EPA300.0 [300Nitrate]_W,14797-55-8,NITRATE AS N,0,MG/L,1,PRL,0.19,0.2,NA,FALSE,TRUE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
UYM,Outflow,Outflow,UYM-03-OT-1-D,2207037-4,EPA300.0 [300Nitrite]_W,14797-65-0,NITRITE AS N,1.3,MG/L,1,PRL,0.11,0.15,NA,FALSE,TRUE,ISCO,Irrigation 3,NA,NA,NA,6/30/2022 9:00,7/1/2022 14:30,NA
